,Median absolute error_TR,Median absolute error_TE,Median absolute error (adjusted)_TR,Median absolute error (adjusted)_TE,Mean absolute error_TR,Mean absolute error_TE,Mean absolute error (adjusted)_TR,Mean absolute error (adjusted)_TE,R^2 score_TR,R^2 score_TE,R^2 score (adjusted)_TR,R^2 score (adjusted)_TE,features
" :SGDRegressor: penalty: l1, alpha: 5e-05__select_from_model",5.8460344005354905,5.80952024813729,0.0,0.0,7.810457507212803,7.8153330839332025,3.2159572334617352,3.188228714000811,0.9410163718542179,0.9396209514505365,0.9672100626342945,0.9657161154915688,"['DATE_NORM', 'CRS_DEP_TIME_ADJ', 'CRS_ARR_TIME_ADJ', 'TAXI_OUT', 'WHEELS_OFF', 'DEP_DELAY', 'CRS_ELAPSED_TIME', 'DISTANCE', 'FL_DATE_DAYOFWEEK', 'PREV_AVG_DELAY', 'PREV_AVG_ARR_DELAY', 'vis_distance_dep', 'liquid_precip_rate_dep', 'wind_speed_dep', 'ceiling_height_dep', 'temp_c_dep', 'dew_point_c_dep', 'pressure_hpa_dep', 'vis_distance_arr', 'liquid_precip_rate_arr', 'wind_speed_arr', 'ceiling_height_arr', 'temp_c_arr', 'dew_point_c_arr', 'pressure_hpa_arr', 'OP_CARRIER_9E', 'OP_CARRIER_AA', 'OP_CARRIER_B6', 'OP_CARRIER_DL', 'OP_CARRIER_EV', 'OP_CARRIER_F9', 'OP_CARRIER_MQ', 'OP_CARRIER_OH', 'OP_CARRIER_OO', 'OP_CARRIER_UA', 'OP_CARRIER_VX', 'OP_CARRIER_WN', 'OP_CARRIER_YV', 'OP_CARRIER_YX', 'ORIGIN_ATL', 'ORIGIN_CLT', 'ORIGIN_DEN', 'ORIGIN_DFW', 'ORIGIN_IAH', 'ORIGIN_LAS', 'ORIGIN_LAX', 'ORIGIN_ORD', 'ORIGIN_PHX', 'ORIGIN_SFO', 'DEST_ATL', 'DEST_CLT', 'DEST_DEN', 'DEST_DFW', 'DEST_IAH', 'DEST_LAS', 'DEST_LAX', 'DEST_ORD', 'DEST_PHX', 'DEST_SFO']"
 :KNeighborsRegressor: weights: distance__all,0.0,10.35113910293688,0.0,0.32933265639559833,3.4534422157444884e-06,17.735010048271885,1.6825043276819868e-06,10.675961485871046,0.9999999999998739,0.42308735831900535,0.9999999999999145,0.43072157777817877,__all__
 :DecisionTreeRegressor: __all,0.0,9.0,0.0,0.0,0.0,11.659362549800797,0.0,5.216525203533691,1.0,0.8716618604016177,1.0,0.9255569612998593,__all__
 :DecisionTreeRegressor: __permutation_small,0.0,9.0,0.0,0.0,0.0,11.690975229516715,0.0,5.212800970032911,1.0,0.872767321996698,1.0,0.9278406661376938,"['DEP_DELAY', 'CRS_ARR_TIME_ADJ', 'CRS_DEP_TIME_ADJ', 'TAXI_OUT', 'PREV_AVG_ARR_DELAY', 'CRS_ELAPSED_TIME', 'PREV_AVG_DELAY', 'DISTANCE', 'WHEELS_OFF', 'OP_CARRIER_VX']"
 :DecisionTreeRegressor: __permutation_big,0.0,9.0,0.0,0.0,0.0,11.729256885501472,0.0,5.220249437034471,1.0,0.8726031253307881,1.0,0.928533056965831,"['DEP_DELAY', 'CRS_ARR_TIME_ADJ', 'CRS_DEP_TIME_ADJ', 'TAXI_OUT', 'PREV_AVG_ARR_DELAY', 'CRS_ELAPSED_TIME', 'PREV_AVG_DELAY', 'DISTANCE', 'WHEELS_OFF', 'pressure_hpa_arr', 'OP_CARRIER_VX', 'OP_CARRIER_DL']"
 :DecisionTreeRegressor: __select_from_model,5.987804878048781,6.984225019669552,0.0,0.0,7.801908663473328,9.221169607820654,2.7941229857824905,4.079441211002106,0.9419578654249489,0.9176892762841579,0.9736043475231748,0.9466359234556667,"['TAXI_OUT', 'DEP_DELAY']"
" :DecisionTreeRegressor: ccp_alpha: 0.1, max_depth: 8__all",6.676945668135094,6.744659932938693,0.0,0.0,8.593926880097435,8.787082749104028,3.589911354550902,3.7357178443200607,0.9327815814917678,0.9250485053549032,0.9626954984677691,0.9539161921227571,__all__
" :DecisionTreeRegressor: ccp_alpha: 0.1, max_depth: 8__permutation_small",6.676945668135094,6.744421906693711,0.0,0.0,8.609107745116566,8.764179067433288,3.6050922195700323,3.712814162649319,0.9323174925186627,0.9266845708456538,0.9621561097050362,0.9558871037693811,"['DEP_DELAY', 'TAXI_OUT', 'PREV_AVG_ARR_DELAY', 'CRS_ELAPSED_TIME']"
" :DecisionTreeRegressor: ccp_alpha: 0.1, max_depth: 8__permutation_big",6.676945668135094,6.744421906693711,0.0,0.0,8.609107745116566,8.764179067433288,3.6050922195700323,3.712814162649319,0.9323174925186627,0.9266845708456538,0.9621561097050362,0.9558871037693811,"['DEP_DELAY', 'TAXI_OUT', 'PREV_AVG_ARR_DELAY', 'CRS_ELAPSED_TIME']"
" :DecisionTreeRegressor: ccp_alpha: 0.1, max_depth: 8__select_from_model",6.707403471484236,6.707798617966437,0.0,0.0,8.740850704795527,8.89166652623322,3.6196313733681404,3.7268676696009635,0.9304616764352012,0.9249624046150214,0.9617009866869122,0.9554775330242755,"['TAXI_OUT', 'DEP_DELAY']"
 :RandomForestRegressor: max_depth: 8__all,6.32875332877893,6.45619124834283,0.0,0.0,8.208136582553271,8.444487193830579,3.310601877209059,3.50449191358351,0.9381753095147551,0.9309795841482374,0.9672574974376226,0.9592535344572934,__all__
